alpha_news_amount,amount_news_ceo,analyst_target_price,beta,close,cpi,currency_exchange_rate,day_moving_average_200,day_moving_average_50,diluted_eps_ttm,eps,ev_to_ebitda,ev_to_revenue,forward_pe,high,low,market_capitalization,mean_price,news_sentiment_mean,open,pe_ratio,peg_ratio,price_change_1,price_change_3,price_to_book_ratio,price_to_sales_ratio_ttm,real_gdp,retail_sales,sentiment_ceo,sentiment_name,trailing_pe,volume,week_high_52,week_low_52,weekday,target
2,1,651.48,1.33,591.03,307.051,145.565,499.32,590.46,11.84,16.07,33.8,13.56,32.68,593.65,585.43,266896867000,588.885,0.17281,585.43,49.51,2.18,1.010957034519165,1.0418317882669308,16.16,13.75,5642.697,625140.0,0.0,0.0232115685939788,49.51,2135690,633.89,318.6,2,0.6924102328977888
4,0,594.87,1.33,597.49,306.746,145.151,500.41,591.9,11.82,16.07,33.8,13.56,32.68,597.84,584.52,269095977000,592.9625000000001,0.26815425,592.0,50.0,2.18,1.0069241023289779,1.0322264775002177,16.16,13.75,5642.697,625140.0,0.0,0.0,50.0,2331830,633.89,318.6,3,0.6525581297299299
5,0,651.48,1.33,596.54,306.746,144.896,501.49,593.56,11.83,16.07,33.8,13.56,32.68,599.38,593.0177,272037200000,596.831925,0.187644,598.39,50.51,2.18,1.0065255812972993,1.0245997656662416,16.16,13.75,5642.697,625140.0,0.0,0.0,50.51,1472167,633.89,318.6,4,0.0
1,0,593.6,1.33,596.54,306.746,144.896,502.61,594.97,11.81,16.07,34.4,13.8,33.22,599.38,593.0177,272100966000,596.831925,0.147051,598.39,50.51,2.217,1.0,1.0134948674189357,16.44,14.02,5642.697,625140.0,-0.2108826041221618,-0.2499998211860656,50.51,1472167,633.89,318.6,5,0.0
0,0,651.48,1.33,596.54,306.746,145.754,503.73,596.26,11.81,16.07,34.4,13.8,33.22,599.38,593.0177,272100966000,596.831925,0.0,598.39,50.51,2.217,1.0,1.0065255812972993,16.44,14.02,5642.697,625140.0,0.0,-0.2118615011374155,50.51,1472167,633.89,318.6,6,0.0
1,0,594.22,1.33,596.54,306.746,147.016,503.73,596.26,11.81,16.07,34.4,13.8,33.22,599.38,593.0177,271668494000,596.831925,0.338012,598.39,50.51,2.217,1.0,1.0,16.44,14.0,5642.697,625140.0,0.0,-0.0090516110261281,50.51,1472167,633.89,318.6,0,-0.44894129951240647
2,0,594.22,1.33,597.68,306.746,147.591,503.73,596.26,11.81,16.07,34.4,13.8,33.22,597.76,588.34,271668494000,594.1525,0.1742659999999999,592.83,50.51,2.217,0.9955105870048759,0.9955105870048759,16.44,14.0,5642.697,625140.0,0.0,0.0,50.51,2126096,633.89,318.6,1,-0.39257598007245154
0,1,651.48,1.33,596.1,306.746,147.814,503.73,596.26,11.83,16.07,34.48,13.83,33.33,596.75,582.44,272123707000,591.82,0.0,591.99,50.52,2.222,0.9960742401992755,0.9916024515612165,16.47,14.02,5642.697,675361.0,0.0,-0.099882823228836,50.52,2588293,633.89,318.6,2,-0.23571356155589474
1,0,651.48,1.33,593.7,306.746,147.91,505.89,598.07,11.8,16.07,34.13,13.69,33.22,596.89,584.21,272123822000,590.425,0.294637,586.9,50.52,2.216,0.997642864384441,0.989265110106166,16.31,14.02,5642.697,675361.0,0.0,0.0,50.52,2793610,633.89,318.6,3,1.8994791887200213
3,1,651.48,1.33,611.55,306.746,148.145,506.93,598.67,11.81,16.07,33.99,13.63,33.11,612.07,589.13,268352406000,601.6400000000001,0.1932883333333333,593.81,50.27,2.208,1.0189947918872002,1.0126019834975029,16.25,13.83,5642.697,675361.0,0.0,0.0,50.27,3755338,633.89,318.6,4,0.0
1,0,649.19,1.33,611.55,306.746,148.145,506.93,598.67,11.8,16.07,35.03,14.05,34.13,612.07,589.13,276420592000,601.6400000000001,0.298507,593.81,51.83,2.274,1.0,1.0165928829711737,16.73,14.24,5642.697,675361.0,0.0,0.0,51.83,3755338,633.89,318.6,5,0.0
1,0,649.19,1.33,611.55,306.746,148.081,508.09,599.59,11.8,16.07,35.03,14.05,34.13,612.07,589.13,276420592000,601.6400000000001,0.314051,593.81,51.83,2.274,1.0,1.0189947918872002,16.73,14.24,5642.697,675361.0,0.0,0.0,51.83,3755338,633.89,318.6,6,1.5017286084701764
4,0,649.19,1.33,603.59,306.746,147.889,508.09,599.59,11.8,16.07,35.03,14.05,34.13,620.96,603.15,276420592000,610.6750000000001,0.21783975,615.0,51.83,2.274,1.0150172860847018,1.0150172860847018,16.73,14.24,5642.697,675361.0,0.0,0.0,51.83,4488000,633.89,318.6,0,-1.9507102796086362
1,0,652.49,1.33,597.18,306.746,147.481,508.09,599.59,11.83,16.07,34.57,13.86,33.67,604.32,591.34,276420690000,598.7625,0.234854,602.21,51.02,2.244,0.9804928972039136,0.9952172395452429,16.52,14.24,5642.697,675361.0,0.0,0.0,51.02,2723463,633.89,318.6,1,1.150289138013827
3,0,652.49,1.33,606.48,306.746,147.58,510.26,600.2,11.82,16.07,34.19,13.71,33.33,616.95,597.46,269925351000,605.6500000000001,0.2620546666666667,601.71,50.52,2.22,1.0115028913801383,1.0066651153513728,16.34,13.91,5642.697,675361.0,0.0,-0.3126163482666015,50.52,2962390,633.89,318.6,2,2.2579047304548627
3,0,652.49,1.33,622.58,306.746,147.811,511.39,600.77,11.83,16.07,34.74,13.93,33.9,627.06,612.24,274128945000,619.3249999999999,0.1742906666666666,615.42,51.27,2.258,1.0225790473045486,1.0141646538666227,16.6,14.12,5769.95,675361.0,0.0,0.0,51.27,3806205,633.89,318.6,3,-0.2894280062971655
0,0,599.62,1.33,613.93,306.746,147.942,513.83,601.75,11.85,16.07,35.17,14.1,34.25,622.5,613.0,277496365000,617.5325,0.0,620.7,51.81,2.285,0.9971057199370283,1.0313479885597379,16.8,14.3,5769.95,675361.0,0.0,0.0,51.81,2137831,633.89,318.6,4,0.0
0,0,599.62,1.33,613.93,306.746,148.118,513.83,601.75,11.85,16.07,35.17,14.1,34.25,622.5,613.0,277496365000,617.5325,0.0,620.7,51.81,2.285,1.0,1.0196194171551225,16.8,14.3,5769.95,675361.0,0.0,-0.1981983333826065,51.81,2137831,633.89,318.6,5,0.0
0,0,599.62,1.33,613.93,306.746,147.942,513.83,601.75,11.85,16.07,35.17,14.1,34.25,622.5,613.0,277496365000,617.5325,0.0,620.7,51.81,2.285,1.0,0.9971057199370283,16.8,14.3,5769.95,675361.0,0.0,0.7499933540821075,51.81,2137831,633.89,318.6,6,1.1242323278531918
2,0,600.55,1.33,630.23,306.746,147.263,513.83,601.75,11.85,16.07,35.17,14.1,34.25,636.25,615.71,277496365000,624.475,0.235064,615.71,51.81,2.285,1.011242323278532,1.011242323278532,16.8,14.3,5769.95,675361.0,0.0,0.0,51.81,3212187,636.25,318.6,0,0.457184034589031
1,1,601.73,1.33,627.96,306.746,147.228,515.13,602.27,11.81,97.45,35.98,14.43,35.09,630.47,620.89,283837923000,627.3299999999999,0.139729,630.0,53.17,2.337,1.0045718403458903,1.0158655617315686,17.18,14.62,5769.95,675361.0,0.0,0.3918356299400329,53.17,2007432,636.25,318.6,1,-1.3326319480974735
2,0,601.73,1.33,617.78,306.746,146.845,515.13,602.27,11.81,97.45,35.98,14.43,35.09,625.93,612.17,283837923000,618.97,0.2437595,620.0,53.17,2.337,0.9866736805190253,1.0023278127062138,17.18,14.62,5769.95,675361.0,0.0,-0.165719985961914,53.17,2666775,636.25,318.6,2,0.7514499894986759
2,0,652.57,1.33,627.91,306.746,146.672,516.38,602.92,11.8,16.07,35.39,14.19,34.48,628.8,618.775,279236575000,623.62125,0.257846,619.0,52.35,2.3,1.0075144998949868,0.9986328515953401,16.91,14.39,5769.95,675361.0,0.0,-0.1163510605692863,52.35,1687613,636.25,318.6,3,0.8147974431595983
1,0,652.57,1.33,634.76,306.746,148.38,517.57,603.24,11.8,16.07,35.98,14.43,35.09,638.25,617.01,283815313000,628.7025,0.311121,624.79,53.21,2.337,1.008147974431596,1.0021878437186171,17.18,14.62,5769.95,675361.0,0.0,0.0,53.21,2542763,638.25,318.6,4,0.0
0,0,604.01,1.33,634.76,306.746,148.38,518.82,603.74,11.81,16.07,36.38,14.59,35.46,638.25,617.01,286911529000,628.7025,0.0,624.79,53.75,2.363,1.0,1.0157237022795935,17.37,14.78,5769.95,675361.0,0.0,0.0,53.75,2542763,638.25,318.6,5,0.0
0,0,652.57,1.33,634.76,306.746,148.497,520.11,604.18,11.81,16.07,36.38,14.59,35.46,638.25,617.01,286911529000,628.7025,0.0,624.79,53.75,2.363,1.0,1.008147974431596,17.37,14.78,5769.95,675361.0,0.0,0.4277663230895996,53.75,2542763,638.25,318.6,6,0.31214684210734145
0,0,652.57,1.335,630.5,306.746,148.673,520.11,604.18,11.81,16.07,36.38,14.59,35.46,634.5899,624.54,286911529000,630.6649749999999,0.0,633.03,53.75,2.363,1.0031214684210734,1.0031214684210734,17.37,14.78,5769.95,675361.0,0.0,0.0,53.75,2131245,638.25,318.6,0,-2.331265502733826
1,0,652.57,1.335,607.14,306.746,147.924,520.11,604.18,11.79,16.07,36.38,14.59,35.46,626.46,604.67,284986016000,615.9625,0.204406,625.58,53.48,2.363,0.9766873449726617,0.979736043677256,17.37,14.68,5769.95,675361.0,0.0,-0.7408243715763092,53.48,3436244,638.25,318.6,1,-0.16965318505590687
4,0,652.57,1.335,615.85,306.746,148.814,521.36,604.58,11.84,16.07,34.77,13.95,33.9,620.42,610.15,274427281000,614.9175,0.1959059999999999,613.25,51.28,2.26,0.9983034681494409,0.9780738902740168,16.61,14.14,5769.95,675361.0,0.0,-0.1249965727329254,51.28,2313824,638.25,318.6,2,0.2394630173966572
0,0,607.5,1.335,615.86,306.746,149.398,523.68,604.25,11.82,16.07,35.28,14.15,34.36,621.34,612.51,278364193000,616.3900000000001,0.0,615.85,52.1,2.292,1.0023946301739666,0.9773652009135281,16.85,14.34,5769.95,675361.0,0.0,0.0144664645195007,52.1,1815682,638.25,318.6,3,0.8730268174369948
0,0,652.57,1.335,627.21,306.746,149.26,523.68,604.25,11.83,16.07,35.29,14.15,34.36,628.07,615.805,278368715000,621.77125,0.0,616.0,52.06,2.293,1.00873026817437,1.0094303630496988,16.86,14.34,5769.95,675361.0,0.0,1.4806787172953287e-05,52.06,2091353,638.25,318.6,4,0.0
0,0,652.57,1.335,627.21,306.746,149.26,526.16,604.26,11.79,16.07,35.94,14.41,34.97,628.07,615.805,283498938000,621.77125,0.0,616.0,53.2,2.335,1.0,1.0111458041119337,17.16,14.61,5769.95,675361.0,0.0,0.0,53.2,2091353,638.25,318.6,5,0.0
0,0,652.57,1.335,627.21,306.746,149.124,526.16,604.26,11.79,16.07,35.94,14.41,34.97,628.07,615.805,283498938000,621.77125,0.0,616.0,53.2,2.335,1.0,1.00873026817437,17.16,14.61,5769.95,675361.0,0.0,0.0,53.2,2091353,638.25,318.6,6,-0.4553523502413448
1,0,652.57,1.335,611.84,306.746,149.545,526.16,604.26,11.79,16.07,35.94,14.41,34.97,626.345,611.575,283498938000,618.94,0.242937,626.0,53.2,2.335,0.9954464764975866,0.9954464764975866,17.16,14.61,5769.95,675361.0,0.0,0.0947741071383158,53.2,2317239,638.25,318.6,0,-3.1820531877080227
1,0,652.57,1.335,601.89,308.417,150.636,527.41,604.15,11.81,16.07,35.06,14.06,34.13,608.39,590.0,276551696000,599.245,0.183279,596.7,51.81,2.278,0.9681794681229198,0.9637708401602679,16.75,14.25,5769.95,675361.0,0.0,-0.4988799095153808,51.81,2985238,638.25,318.6,1,1.0997171440729536
2,0,652.57,1.335,604.66,308.417,150.045,528.56,603.97,11.8,16.07,34.47,13.82,33.56,610.33,602.5,272054288000,605.8349999999999,0.2887125,605.85,51.01,2.24,1.0109971714407295,0.9743695933190862,16.47,14.02,5769.95,675361.0,0.0,0.2063207072871072,51.01,1615119,638.25,318.6,2,-1.230293726839804
0,0,652.57,1.335,590.44,308.417,150.28,528.56,603.97,11.84,16.07,34.63,13.89,33.78,607.3158,589.77,273306305000,598.38145,0.0,606.0,51.07,2.249,0.987697062731602,0.9667842601867708,16.53,14.08,5769.95,554784.0,0.0,0.0,51.07,3677358,638.25,318.6,3,-5.032638461636807
3,0,652.57,1.335,546.66,308.417,150.173,529.7,603.81,11.81,16.07,33.8,13.56,33.0,590.1383,546.37,266878878000,568.267075,0.1290686666666667,589.9,49.99,2.199,0.9496736153836319,0.9483050755534047,16.16,13.75,5769.95,554784.0,0.0,-0.4999799132347107,49.99,10328353,638.25,318.6,4,0.0
1,0,652.57,1.335,546.66,308.417,150.173,530.78,603.53,11.81,16.07,31.26,12.54,30.58,590.1383,546.37,247090315000,568.267075,0.181379,589.9,46.29,2.036,1.0,0.9379898404681143,14.96,12.73,5769.95,554784.0,0.0,0.0,46.29,10328353,638.25,318.6,5,0.0
1,1,652.57,1.335,546.66,308.417,149.968,531.67,602.42,11.81,16.07,31.26,12.54,30.58,590.1383,546.37,247090315000,568.267075,0.014805,589.9,46.29,2.036,1.0,0.9496736153836319,14.96,12.73,5769.95,554784.0,0.0,0.9955244958400726,46.29,10328353,638.25,318.6,6,0.0
1,0,652.57,1.335,546.66,308.417,150.268,531.67,602.42,11.81,16.07,34.6,13.88,33.78,590.1383,546.37,247090315000,568.267075,0.117599,589.9,46.29,2.249,1.0,1.0,16.53,12.73,5769.95,554784.0,0.0,0.0,46.29,10328353,638.25,318.6,0,-5.5331949330339025
