date,cash,stock,depot_value,holding,flag,prediction
2025-03-31,714.6629896343171,0.0,714.6629896343171,671.1808879544895,Hold,-0.1377439539644276
2025-04-01,0.0,713.6629896343171,713.6629896343171,670.6033850393983,Buy,1.2529462236868312
2025-04-02,717.4679231240262,0.0,717.4679231240262,675.1184078301125,Sell,-2.011399109896144
2025-04-03,717.4679231240262,0.0,717.4679231240262,642.6907441433169,Sell,-3.220490969277035
2025-04-04,717.4679231240262,0.0,717.4679231240262,610.8755835482849,Hold,0.3426727513567491
2025-04-08,717.4679231240262,0.0,717.4679231240262,595.0030034274412,Sell,-2.8615768324772364
2025-04-09,0.0,716.4679231240262,716.4679231240262,638.1232210875945,Buy,3.728236691150002
2025-04-10,686.800560798501,0.0,686.800560798501,612.590592205223,Sell,-0.989890752473712
2025-04-11,0.0,685.800560798501,685.800560798501,616.8256135825595,Buy,1.2970939813783395
2025-04-12,0.0,685.800560798501,685.800560798501,616.8256135825595,Hold,-1.0907143773487888
2025-04-13,0.0,685.800560798501,685.800560798501,616.8256135825595,Hold,-1.2342305471238235
2025-04-15,0.0,681.734049685303,681.734049685303,613.1680951203143,Buy,2.00992044254949
2025-04-16,668.6901722734872,0.0,668.6901722734872,602.3355404402677,Sell,-1.2241376163585589
2025-04-17,0.0,667.6901722734872,667.6901722734872,610.4030811632103,Buy,1.7323266016958223
2025-04-18,0.0,667.6901722734872,667.6901722734872,610.4030811632103,Hold,0.0528704622466156
2025-04-19,0.0,667.6901722734872,667.6901722734872,610.4030811632103,Hold,-0.637384822328745
2025-04-21,656.0086609165892,0.0,656.0086609165892,600.6380318716659,Sell,-0.8947138430164204
2025-04-23,656.0086609165892,0.0,656.0086609165892,615.9331090774183,Sell,-3.4218842411096224
2025-04-24,656.0086609165892,0.0,656.0086609165892,631.595688138229,Sell,-3.4978601752111045
2025-04-25,656.0086609165892,0.0,656.0086609165892,643.513248295114,Sell,-2.8605564140533293
2025-04-26,656.0086609165892,0.0,656.0086609165892,643.513248295114,Hold,1.6407820113900855
2025-04-27,656.0086609165892,0.0,656.0086609165892,643.513248295114,Hold,2.4470756100572864
2025-04-28,656.0086609165892,0.0,656.0086609165892,645.088256245363,Hold,0.0614803797089491
2025-04-29,0.0,655.0086609165892,655.0086609165892,649.2182770926829,Buy,1.12606006353744
2025-04-30,0.0,662.0711296309844,662.0711296309844,656.2183124271234,Hold,-0.3253315557437695
2025-05-01,0.0,661.4531636184747,661.4531636184747,655.6058093353598,Buy,2.8117753431917567
2025-05-02,0.0,672.4706148129314,672.4706148129314,666.5258644570871,Hold,0.4451376379167882
2025-05-03,0.0,672.4706148129314,672.4706148129314,666.5258644570871,Hold,1.9589228213292644
2025-05-04,0.0,672.4706148129314,672.4706148129314,666.5258644570871,Hold,1.0339353420385673
2025-05-05,0.0,672.8060820768652,672.8060820768652,666.858366135473,Buy,0.6393701613830555
2025-05-07,0.0,679.7096452451866,679.7096452451866,673.7009006748885,Buy,0.5523976512861314
2025-05-08,0.0,677.9793404101597,677.9793404101597,671.9858920179506,Buy,0.98310433315707
2025-05-09,675.7257522133544,0.0,675.7257522133544,670.7433857460874,Sell,-0.978799420985276
2025-05-10,675.7257522133544,0.0,675.7257522133544,670.7433857460874,Hold,1.071985593704094
2025-05-11,675.7257522133544,0.0,675.7257522133544,670.7433857460874,Hold,0.3214596028169728
2025-05-12,0.0,674.7257522133544,674.7257522133544,692.8984975795915,Buy,0.9395005288630124
2025-05-13,0.0,677.2137544314469,677.2137544314469,695.4535104766624,Hold,-0.440761339181674
2025-05-14,0.0,680.7412644255917,680.7412644255917,699.0760287622354,Buy,0.8943708831829282
2025-05-15,0.0,689.636724410826,689.636724410826,708.2110748736802,Buy,0.7117078447631143
2025-05-16,0.0,710.8273460423183,710.8273460423183,729.9724347196221,Buy,2.3590652914156784
2025-05-17,0.0,710.8273460423183,710.8273460423183,729.9724347196221,Hold,-0.6579650114095733
2025-05-18,0.0,710.8273460423183,710.8273460423183,729.9724347196221,Hold,-0.5570855192714501
2025-05-19,0.0,716.8854610322625,716.8854610322625,736.1937161231061,Hold,0.4413566901781713
2025-05-20,0.0,711.6538399298353,711.6538399298353,730.821189003923,Hold,-0.4001432127292144
2025-05-21,0.0,705.5531221621841,705.5531221621841,724.5561573795987,Hold,0.1303650036084557
2025-05-22,705.0643554946688,0.0,705.0643554946688,725.0811600296818,Sell,-0.5804076835932483
2025-05-23,0.0,704.0643554946688,704.0643554946688,713.4611013745106,Buy,0.7425371151183713
2025-05-24,0.0,704.0643554946688,704.0643554946688,713.4611013745106,Hold,-0.1107578881693109
2025-05-25,0.0,704.0643554946688,704.0643554946688,713.4611013745106,Hold,-0.9340943611153304
2025-05-26,703.0643554946688,0.0,703.0643554946688,713.4611013745106,Sell,-0.6692850065266036
2025-05-27,0.0,702.0643554946688,702.0643554946688,722.9286491643413,Buy,1.029965539547049
2025-05-28,699.585788587672,0.0,699.585788587672,721.4061414791005,Sell,-3.106687075826478
2025-05-29,699.585788587672,0.0,699.585788587672,723.3836514610799,Hold,0.4525778734075504
2025-05-30,0.0,698.585788587672,698.585788587672,726.4111667432254,Buy,1.039059209512943
2025-05-31,0.0,698.585788587672,698.585788587672,726.4111667432254,Hold,-0.9882720665089963
2025-06-01,0.0,698.585788587672,698.585788587672,726.4111667432254,Hold,-0.2044993570238037
2025-06-02,0.0,678.911819403664,678.911819403664,705.9535634783231,Buy,1.489108368545515
2025-06-03,0.0,694.2100554928542,694.2100554928542,721.8611437758391,Buy,1.5306767962683747
2025-06-04,0.0,696.5998789523316,696.5998789523316,724.3461563195655,Buy,1.2094458868715787
2025-06-05,0.0,698.7709157570681,698.7709157570681,726.6036677149225,Buy,0.7921733006277154
2025-06-06,0.0,701.665631496717,701.665631496717,729.613682908732,Hold,0.2901172790113151
2025-06-07,0.0,701.665631496717,701.665631496717,729.613682908732,Hold,-2.774692764381379
2025-06-08,0.0,701.665631496717,701.665631496717,729.613682908732,Hold,-2.575204505613939
2025-06-09,0.0,700.5548684803401,700.5548684803401,728.4586770785493,Hold,0.0867975559135287
